Timestamp,Section Code,Item Code,MAKE (MANUFACTURED BY),Description,Quantity,Unit,Section Alloted,Picture of the Material,LOCATION/STOCK,Part Code
9/18/2022 19:19:31,,,SKF,Bearing 22211 EK/C3,9,PC,Common Product,,5D,
9/18/2022 19:19:31,,,SKF,Bearing 22217 EK/C3,2,PC,Parboiling Section,,5D,
9/18/2022 19:19:31,,,SKF,Bearing 22215 EK/C3,2,PC,Parboiling Section,,5D,
9/18/2022 19:19:31,,,SKF,Bearing 6209-2RS1/C3,2,PC,Milling Section,,5D,
9/18/2022 19:19:31,,,SKF,Bearing 6215-2RS1/C3,8,PC,Milling Section,,5D,
9/18/2022 19:19:31,,,SKF,Bearing 6205-2RS1/C3,14,PC,Milling Section,,5D,
9/18/2022 19:19:31,,,SKF,Bearing 6304-2RS1/C3,1,PC,Milling Section,,5D,
9/18/2022 19:19:31,,,SKF,Bearing 6204-2RS1/C3,1,PC,Milling Section,,5D,
9/18/2022 19:19:31,,,SKF,Bearing 6004-2RSH/C3,10,PC,Milling Section,,5D,
9/18/2022 19:19:31,,,SKF,Bearing 6310-2RS1/C3,1,PC,Milling Section,,5D,
9/18/2022 19:19:31,,,SKF,Bearing 6216-2RS1/C3,2,PC,Milling Section,,5D,
9/18/2022 19:19:31,,,SKF,Bearing 6218-2RS1/C3,4,PC,Milling Section,,5D,
9/18/2022 19:19:31,,,SKF,Bearing 6318-2RS1/C3,1,PC,Milling Section,,5D,
9/18/2022 19:19:31,,,SKF,Bearing 6022-2RS1/C3,1,PC,Milling Section,,5D,
9/18/2022 19:19:31,,,SKF,Bearing 6309-2RS1/C3,11,PC,Milling Section,,5D,
9/18/2022 19:19:31,,,SKF,Bearing 6208-2RS1/C3,16,PC,Milling Section,,5D,
9/18/2022 19:19:31,,,SKF,Bearing 6206-2RS1/C3,9,PC,Milling Section,,5D,
9/18/2022 19:19:31,,,SKF,Bearing 6204-ZZ/C3,1,PC,Common Product,,5D,
9/18/2022 19:19:31,,,SKF,Bearing UC-211,1,PC,Common Product,,5D,
9/18/2022 19:19:31,,,SKF,Bearing UC-210,1,PC,Common Product,,5D,
9/18/2022 19:19:31,,,SKF,Bearing 1211 K,1,PC,Milling Section,,5D,
9/18/2022 19:19:31,,,FYH,Bearing with plumber block UKP-310 J,2,PC,Milling Section,,5D,
9/18/2022 19:19:31,,,NTN,Bearing with plumber block UCF-308 D1,6,PC,Milling Section,,5D,
9/18/2022 19:19:31,,,NTN,Bearing with plumber block UCF-309 D1,2,PC,Milling Section,,5D,
9/18/2022 19:19:31,,,SKF,Bearing UC -207/20,17,PC,Common Product,,5D,
9/18/2022 20:20:46,,,Skf,Bearing sleeve HE-315,9,PC,Parboiling Section,,5D,
9/18/2022 20:21:22,,,Skf,Bearing sleeve H-317,6,PC,Parboiling Section,,5D,
9/18/2022 20:25:03,,,SKF,Bearing sleeve H-311,5,PC,Parboiling Section,,5D,
9/18/2022 20:25:43,,,SKF,Bearing sleeve H-309,4,PC,Parboiling Section,,5D,
,,,,"P.P. Reducing TEE Dia. 2.5"" * 1.25""",9,PC,Common Product,,6C,
,,,,"P.P. Reducing TEE Dia. 2.5"" * 1.5""",10,PC,Common Product,,6C,
,,,,"P.P. TEE Dia. 2.5"" * 2.5""",5,PC,Common Product,,6C,
,,,,P.P. Reducing TEE Dia. 32mm * 25mm,30,PC,Common Product,,6C,
,,,,P.P. TEE Dia. 32mm,20,PC,Common Product,,6C,
,,,,P.P. TEE Dia. 40mm,7,PC,Common Product,,6C,
,,,,P.P. Reducing TEE Dia. 40mm * 25mm,10,PC,Common Product,,6C,
